,act,context,onset,offset,inter_scale,target,predictability,agent_H_NH,main_effector,eff_visibility,act_label,obj_label,run,sociality,dinamicity,durativity,telicity,iterativity,transitivity,multi_ag_vs_jointact,tool_mediated,faces,ToM,touch,EBL,EIA,gesticolare,simbolic_gestures,people_present,rater
412,act_413,2,01:13.3,01:14.0,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
413,act_414,2,01:15.5,01:16.9,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,LT
414,act_415,2,01:17.2,01:17.7,0,2,0,1,6,1,domandare,uomo,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,LT
415,act_416,2,01:17.9,01:19.5,0,2,0,1,6,1,correggersi,donna,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,LT
416,act_417,2,01:20.2,01:20.9,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
417,act_418,2,01:21.0,01:22.6,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,LT
418,act_419,2,01:22.7,01:23.5,0,2,0,1,6,1,rispondere,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
419,act_420,2,01:23.6,01:23.9,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
420,act_421,2,01:24.0,01:27.0,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
421,act_422,2,01:27.1,01:32.5,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,LT
422,act_423,2,01:35.1,01:35.9,0,2,0,1,6,1,rispondere,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
423,act_424,2,01:39.5,01:40.8,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,LT
424,act_425,2,01:43.0,01:43.7,0,2,0,1,6,1,rispondere,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
425,act_426,2,01:45.2,01:46.1,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,LT
426,act_427,2,01:47.3,01:48.5,0,2,0,1,6,1,rispondere,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
427,act_428,2,01:52.5,01:53.0,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,LT
428,act_429,2,01:55.1,01:55.9,0,2,0,1,6,1,rispondere,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
429,act_430,2,01:58.8,02:04.2,1,2,0,1,6,1,baciarsi,coppia,3,1,1,1,0,0,0,2,0,1,0,1,1,0,0,0,0,LT
430,act_431,2,02:12.8,02:43.6,0,2,1,1,6,0,declamare,libro ,3,1,1,1,0,0,1,2,0,1,0,0,0,1,0,0,1,LT
431,act_432,2,02:43.8,02:44.6,0,2,0,1,6,0,esclamare,amen,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,LT
432,act_433,1,02:46.3,02:51.7,0,0,0,1,2,0,guidare,macchina,3,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,1,LT
